Word,Rank,Frequency
Arts,1,260
Travel,2,41
N.Y. / Region,3,274
World,4,288
Business Day,5,527
Education,6,15
Health,7,79
Sports,8,428
U.S.,9,327
Great Homes & Destinations,10,12
Science,11,47
Theater,12,47
Movies,13,61
Books,14,89
Opinion,15,229
Corrections,16,19
Food,17,11
Fashion & Style,18,109
Technology,19,63
Autos,20,9
Business,21,15
Your Money,22,6
Style,23,14
N.Y./Region,24,1
Crosswords & Games,25,7
Crosswords/Games,26,10
Real Estate,27,41
Great Homes and Destinations,28,1
UrbanEye,29,6
Multimedia,30,11
T:Style,31,11
Home & Garden,32,27
Multimedia/Photos,33,6
Arts; Books,34,1
Magazine,35,37
T Magazine,36,8
Automobiles,37,13
Dining & Wine,38,56
Obituaries; Books,39,1
Week in Review,40,14
Job Market,41,2
Movies; Obituaries,42,1
Obituaries,43,1
Blogs,44,2
